2,5,0.6180149317,0.6700666547,0.6797516346
2,10,0.6332031488,0.6926088929,0.7043454647
2,15,0.6402649283,0.7032155395,0.7155622244
2,20,0.6450502276,0.7099526525,0.7219523787
2,25,0.6530706882,0.7220349908,0.7349140048
2,30,0.6565502882,0.727640152,0.7412965894
2,35,0.6628241539,0.7361505628,0.7510102391
2,40,0.6650647521,0.7396134734,0.7552855015
2,45,0.6688724756,0.7449754477,0.7603462338
2,50,0.6717162728,0.7485599518,0.7643193007
4,5,0.635142386,0.6862673163,0.7017798424
4,10,0.6494775414,0.7058595419,0.7229670286
4,15,0.6576448679,0.7173858881,0.7345004082
4,20,0.6661189795,0.7280969024,0.7464513779
4,25,0.6724641323,0.7370867729,0.7562425137
4,30,0.6785157323,0.7451200485,0.7648581862
4,35,0.6811975241,0.7476601601,0.7675789595
4,40,0.683894515,0.7511604428,0.7721015811
4,45,0.683820188,0.7514176965,0.7719882131
4,50,0.6895420551,0.7588059902,0.7799595594
6,5,0.5933916569,0.5974665284,0.5994326472
6,10,0.6060113311,0.6108136177,0.6116570234
6,15,0.6105762124,0.6153067946,0.6154295802
6,20,0.6123503447,0.6180425286,0.6184126139
6,25,0.6148949862,0.6200984716,0.6202549934
6,30,0.6155748963,0.6198498011,0.6216587424
6,35,0.6153482795,0.6197337508,0.6201087832
6,40,0.6152187586,0.6199989915,0.6209276319
6,45,0.6151798964,0.6204632521,0.6211031079
6,50,0.6154518723,0.619833231,0.6231210232
